operator,count,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",40,0.0,0.0,71.96799999999848,71.96799999999848
aten::neg,40,119.63400000000411,198.90099999999939,68.83399999999483,68.83399999999483
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})",40,0.0,0.0,68.83399999999483,68.83399999999483
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",45,0.0,0.0,62.30399999999736,62.30399999999736
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_tn_align8::Params),20,0.0,0.0,53.7299999999982,53.7299999999982
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",55,0.0,0.0,53.47099999999659,53.47099999999659
aten::rsqrt,45,118.3890000000008,195.2479999999989,44.51200000000085,44.51200000000085
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",45,0.0,0.0,44.51200000000085,44.51200000000085
aten::pow,45,185.68699999998898,275.67699999999377,44.446999999996706,44.446999999996706
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",45,0.0,0.0,44.446999999996706,44.446999999996706
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",45,0.0,0.0,42.81699999999728,42.81699999999728
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>)",40,0.0,0.0,39.551000000000386,39.551000000000386
"void cublasLt::splitKreduce_kernel<32, 16, int, __half, __half, float, false, __half, __half, __half, true, false, false>(cublasLt::cublasSplitKParams<float>, __half const*, __half const*, __half*, __half*, float const*, float const*, __half const*, __half const*, __half*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",20,0.0,0.0,26.045999999998912,26.045999999998912
aten::silu,20,68.96799999999985,112.50900000000229,25.310999999998785,25.310999999998785
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#5}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#5}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",20,0.0,0.0,25.310999999998785,25.310999999998785
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",20,0.0,0.0,19.838000000002467,19.838000000002467
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8::Params),5,0.0,0.0,17.44099999999935,17.44099999999935
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",5,0.0,0.0,10.495999999998276,10.495999999998276
aten::sum,5,46.44799999999782,97.02199999999925,10.430999999999585,16.479999999999563
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)",5,0.0,0.0,10.430999999999585,10.430999999999585
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",10,0.0,0.0,9.792999999999665,9.792999999999665
aten::index_select,5,55.37100000000214,1007.0809999999992,8.734999999999445,10.686999999999443
"void at::native::(anonymous namespace)::indexSelectLargeIndex<c10::Half, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",5,0.0,0.0,8.734999999999445,8.734999999999445
aten::cos,5,19.65699999999879,29.61599999999794,7.84099999999944,7.84099999999944
"void at::native::vectorized_elementwise_kernel<4, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",5,0.0,0.0,7.84099999999944,7.84099999999944
aten::sin,5,15.606000000000904,25.492000000000644,7.519000000000233,7.519000000000233
"void at::native::vectorized_elementwise_kernel<4, at::native::sin_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::sin_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",5,0.0,0.0,7.519000000000233,7.519000000000233
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",5,0.0,0.0,6.0809999999992215,6.0809999999992215
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",5,0.0,0.0,6.048999999999978,6.048999999999978
aten::bmm,5,69.77999999999997,83.50099999999975,5.918999999998732,5.918999999998732
"void gemmk1_kernel<int, float, 256, 5, false, false, false, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",5,0.0,0.0,5.918999999998732,5.918999999998732
aten::eq,5,27.545999999999367,37.502000000000635,5.151000000000067,5.151000000000067
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",5,0.0,0.0,5.151000000000067,5.151000000000067
"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>)",5,0.0,0.0,5.024000000000569,5.024000000000569
aten::arange,10,25.464000000001988,84.99999999999818,4.446999999999434,8.893999999998869
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",5,0.0,0.0,4.446999999999434,4.446999999999434
aten::_local_scalar_dense,5,16.789000000000442,71.32300000000032,4.161000000000513,4.161000000000513
Memcpy DtoH (Device -> Pinned),5,0.0,0.0,4.161000000000513,4.161000000000513
Unrecognized,1,886.9550000000002,886.9550000000002,1.9519999999999982,1.9519999999999982
model_iteration::huggingface_model,5,3060.5680000000207,12309.918,0.0,1711.4579999999714
cudaLaunchKernel,765,1466.2059999999974,1466.2059999999974,0.0,0.0
rmsnorm::huggingface_llama,45,1153.993999999999,3175.1590000000006,0.0,521.3749999999841
aten::matmul,150,261.37999999999784,1701.628999999995,0.0,474.8199999999922
cuLaunchKernel,145,242.76699999999437,242.76699999999437,0.0,0.0
aten::empty_strided,140,232.68999999999937,232.68999999999937,0.0,0.0
aten::transpose,310,229.7609999999795,313.33999999999037,0.0,0.0
aten::_to_copy,120,146.07199999999557,815.5479999999957,0.0,162.75400000000081
aten::empty,90,137.9670000000017,137.9670000000017,0.0,0.0
aten::linear,145,130.23099999998135,1949.2959999999962,0.0,468.9009999999935
aten::as_strided,500,129.85100000000853,129.85100000000853,0.0,0.0
aten::t,145,110.72200000001635,238.32000000001767,0.0,0.0
aten::slice,110,97.03900000000135,125.71399999999812,0.0,0.0
aten::scaled_dot_product_attention,20,90.61000000000104,606.3070000000002,0.0,144.4799999999982
aten::reshape,180,82.47099999999358,134.10699999999503,0.0,0.0
aten::view,245,68.99499999999523,68.99499999999523,0.0,0.0
aten::_scaled_dot_product_flash_attention,20,61.40099999999984,515.6969999999992,0.0,144.4799999999982
aten::to,180,56.71800000001167,872.2660000000074,0.0,162.75400000000081
aten::unsqueeze,60,50.440000000000964,63.53499999999963,0.0,0.0
aten::_unsafe_view,150,39.21600000000785,39.21600000000785,0.0,0.0
cudaMemcpyAsync,5,35.847999999999274,35.847999999999274,0.0,0.0
aten::embedding,5,25.29300000000137,1052.252,0.0,10.686999999999443
aten::empty_like,20,25.143999999997504,59.3609999999976,0.0,0.0
aten::resize_,10,20.10799999999813,20.10799999999813,0.0,0.0
cudaDeviceGetAttribute,145,18.85499999998933,18.85499999998933,0.0,0.0
cudaStreamSynchronize,5,18.686000000000604,18.686000000000604,0.0,0.0
cudaFuncSetAttribute,20,12.758000000001175,12.758000000001175,0.0,0.0
aten::expand,15,11.528999999996358,14.969999999997071,0.0,0.0
aten::result_type,45,5.943999999997459,5.943999999997459,0.0,0.0
cudaDeviceSynchronize,1,3.912000000000262,3.912000000000262,0.0,0.0
aten::is_nonzero,5,3.6859999999990123,78.61099999999965,0.0,4.161000000000513
aten::item,5,3.6020000000003165,74.92500000000064,0.0,4.161000000000513
cudaStreamIsCapturing,5,2.930999999998903,2.930999999998903,0.0,0.0
