family,dtype,case_name,batch_size,sequence_length,module_name,shape,stride,is_contiguous,storage_offset,device,input_dtype,weight_is_contiguous
qwen2,fp16,prefill_s32,1,32,model.layers.0.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.1.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.1.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.2.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.2.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.3.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.layers.3.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s32,1,32,model.norm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.0.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.0.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.1.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.1.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.2.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.2.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.3.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.layers.3.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_s128,1,128,model.norm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.0.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.0.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.1.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.1.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.2.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.2.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.3.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.layers.3.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
qwen2,fp16,prefill_b4_s32,4,32,model.norm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float16,True
llama,bf16,single_token_no_cache,1,1,model.layers.0.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.0.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.1.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.1.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.2.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.2.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.3.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.layers.3.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,single_token_no_cache,1,1,model.norm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.0.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.0.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.1.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.1.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.2.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.2.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.3.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.layers.3.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s32,1,32,model.norm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.0.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.0.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.1.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.1.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.2.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.2.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.3.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.layers.3.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_s128,1,128,model.norm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.0.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.0.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.1.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.1.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.2.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.2.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.3.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.layers.3.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,bf16,prefill_b4_s32,4,32,model.norm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.0.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.0.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.1.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.1.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.2.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.2.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.3.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.layers.3.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,single_token_no_cache,1,1,model.norm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.0.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.0.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.1.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.1.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.2.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.2.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.3.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.layers.3.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s32,1,32,model.norm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.0.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.0.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.1.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.1.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.2.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.2.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.3.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.layers.3.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_s128,1,128,model.norm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.0.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.0.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.1.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.1.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.2.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.2.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.3.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.layers.3.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
qwen2,bf16,prefill_b4_s32,4,32,model.norm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.bfloat16,True
llama,fp32,single_token_no_cache,1,1,model.layers.0.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.0.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.1.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.1.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.2.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.2.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.3.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.layers.3.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,single_token_no_cache,1,1,model.norm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.0.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.0.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.1.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.1.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.2.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.2.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.3.input_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.layers.3.post_attention_layernorm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s32,1,32,model.norm,"(1, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.0.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.0.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.1.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.1.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.2.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.2.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.3.input_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.layers.3.post_attention_layernorm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_s128,1,128,model.norm,"(1, 128, 512)","(65536, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.0.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.0.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.1.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.1.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.2.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.2.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.3.input_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.layers.3.post_attention_layernorm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
llama,fp32,prefill_b4_s32,4,32,model.norm,"(4, 32, 512)","(16384, 512, 1)",True,0,cuda:0,torch.float32,True
qwen2,fp32,single_token_no_cache,1,1,model.layers.0.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
qwen2,fp32,single_token_no_cache,1,1,model.layers.0.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
qwen2,fp32,single_token_no_cache,1,1,model.layers.1.input_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
qwen2,fp32,single_token_no_cache,1,1,model.layers.1.post_attention_layernorm,"(1, 1, 512)","(512, 512, 1)",True,0,cuda:0,torch.float32,True
